HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 39191|08 00 55.86|+25 23 34.2| 5.87|120.23275932|+25.39282019
 39211|08 01 13.30|-01 23 32.7| 4.69|120.30540155|-01.39242418
 39213|08 01 13.91|+04 52 47.2| 5.65|120.30795569|+04.87977849
 39221|08 01 20.75|+59 02 50.3| 5.78|120.33644785|+59.04731836
 39236|08 01 30.29|+16 27 19.2| 5.99|120.37619077|+16.45532309
 39251|08 01 37.53|-37 17 01.4| 5.90|120.40636615|-37.28373201
 39311|08 02 15.95|+02 20 03.5| 4.39|120.56647202|+02.33431429
 39360|08 02 44.79|-41 18 35.5| 5.52|120.68662049|-41.30986539
 39380|08 03 04.17|-32 27 48.9| 5.83|120.76737445|-32.46357097
 39424|08 03 31.10|+27 47 39.9| 4.94|120.87957982|+27.79441794
 39429|08 03 35.07|-40 00 11.5| 2.21|120.89612561|-40.00318846
 39487|08 04 16.19|-32 40 29.4| 5.25|121.06747264|-32.67484684
 39527|08 04 42.41|-50 35 25.4| 5.96|121.17669801|-50.59039998
 39538|08 04 47.19|+79 28 47.1| 5.39|121.19660915|+79.47974268
 39566|08 05 03.71|-53 06 28.5| 5.52|121.26544452|-53.10791360
 39567|08 05 04.51|+13 07 06.1| 5.14|121.26879080|+13.11837053
 39659|08 06 18.40|+22 38 07.8| 5.96|121.57666469|+22.63551163
 39690|08 06 40.34|-45 15 57.8| 5.04|121.66809949|-45.26604229
 39734|08 07 18.05|-20 33 15.6| 5.33|121.82519225|-20.55434589
 39757|08 07 32.70|-24 18 16.0| 2.83|121.88625899|-24.30443677
 39780|08 07 45.84|+21 34 55.1| 5.30|121.94100510|+21.58197937
 39794|08 07 55.84|-68 37 01.7| 4.35|121.98266997|-68.61713647
 39847|08 08 27.50|+51 30 24.0| 4.78|122.11459795|+51.50667575
 39863|08 08 35.66|-02 59 01.6| 4.36|122.14857362|-02.98377649
 39903|08 09 00.86|-61 18 06.1| 4.74|122.25357658|-61.30170580
 39906|08 09 01.64|-19 14 42.0| 4.40|122.25684770|-19.24500094
 39919|08 09 09.51|-48 41 03.9| 5.66|122.28964371|-48.68440955
 39943|08 09 28.54|-16 14 56.1| 5.66|122.36891634|-16.24890678
 39953|08 09 31.96|-47 20 11.8| 1.75|122.38314727|-47.33661177
 39957|08 09 33.63|-56 05 07.7| 5.66|122.39013231|-56.08547484
 39961|08 09 35.92|-44 07 22.0| 5.20|122.39967933|-44.12277919
 39970|08 09 43.16|-47 56 14.0| 5.23|122.42983160|-47.93721650
 39995|08 10 03.80|+58 14 54.3| 5.91|122.51583214|+58.24842270
 40023|08 10 27.23|+25 30 29.4| 5.73|122.61344988|+25.50817993
 40035|08 10 39.98|-13 47 57.7| 5.53|122.66656902|-13.79934746
 40077|08 11 10.80|-48 27 43.2| 5.83|122.79501934|-48.46200365
 40084|08 11 16.32|-12 55 37.3| 4.72|122.81800545|-12.92701835
 40091|08 11 21.50|-39 37 06.8| 4.44|122.83958436|-39.61855304
 40096|08 11 25.90|-42 59 14.2| 4.73|122.85790344|-42.98728888
 40107|08 11 33.03|-07 46 20.9| 5.36|122.88762397|-07.77247623
 40155|08 11 59.97|-46 38 39.7| 5.77|122.99988027|-46.64436989
 40167|08 12 12.71|+17 38 53.3| 4.67|123.05295353|+17.64813756
 40215|08 12 48.79|+68 28 26.6| 5.34|123.20328577|+68.47405416
 40240|08 13 08.87|+29 39 23.7| 5.62|123.28697716|+29.65658620
 40259|08 13 19.98|-15 47 17.6| 4.99|123.33322933|-15.78821451
 40274|08 13 29.52|-35 53 58.4| 4.78|123.37301019|-35.89954225
 40282|08 13 34.23|-50 11 45.8| 5.52|123.39261076|-50.19606698
 40285|08 13 36.16|-46 59 30.0| 5.14|123.40068034|-46.99165320
 40305|08 13 50.20|+56 27 08.3| 5.88|123.45916037|+56.45231827
